本地菜品分类,淘点点分类ID
浇头,50024702
金典美食类,50024702
金牌菜,50024702
金牌菜肴,50024702
金牌推荐,50024702
近乡情切,50024702
京菜肴,50024702
京鲁菜,50024702
京师绝味招牌菜,50024702
京味菜系列,50024702
京味家常菜,50024702
京味鸭菜,50024702
京味招牌菜,50024702
京味主食坊,50024702
京小吃,50024702
京韵京味,50024702
京韵鲁味,50024702
经典,50024702
经典菜,50024702
经典菜肴,50024702
经典川菜（已包含一元打包盒费用）,50024702
经典川菜类,50024702
经典干锅,50024702
经典干锅类,50024702
经典淮扬篇,50024702
经典家常,50024702
经典咖喱,50024702
经典鲁菜,50024702
经典篇,50024702
经典融合菜,50024702
经典酸菜米线,50024702
经典台菜,50024702
经典特色菜,50024702
经典西北菜,50024702
经典系列比萨,50024702
经典香锅,50024702
经典湘菜,50024702
经典小菜,50024702
经典小吃,50024702
经典小河鲜,50024702
经典粤菜,50024702
经典粤菜篇,50024702
经典招牌菜,50024702
经典蒸菜类,50024702
经典主餐,50024702
经典组合,50024702
荆楚食尚,50024702
精彩独有,50024702
精美川菜,50024702
精美干锅,50024702
精美锅仔,50024702
精美家常菜,50024702
―精美凉菜―,50024702
精美热菜,50024702
精美涮菜,50024702
精美湘菜,50024702
精美粤菜,50024702
精美之川湘,50024702
精品菜,50024702
精品菜系,50024702
精品川菜（含一元打包费）,50024702
精品川菜系列,50024702
精品川湘菜,50024702
精品鄂菜,50024702
精品干锅,50024702
精品干锅类,50024702
精品荤菜,50024702
精品家常菜,50024702
精品鲁菜,50024702
精品热卖,50024702
精品涮肉,50024702
精品香锅,50024702
精品粤菜（菜价已包含1元打包餐盒费）,50024702
精选版,50024702
精选美食,50024702
精选配餐,50024702
精选热菜,50024702
精制热菜,50024702
精致个人餐,50024702
精致美食,50024702
精致涮品（已包含1元打包费）,50024702
精装类,50024702
丼系列,50024702
九香系列,50024702
玖食特色菜,50024702
菊樱精品刺身,50024702
卷类巻きRolls,50024702
卷物,50024702
眷村菜,50024702
军舰,50024702
军舰系列（2个）,50024702
菌、豆制品、蔬菜类,50024702
菌锅类,50024702
菌类,50024702
菌类、豆制品、蔬菜,50024702
菌系列,50024702
咖&巧传说,50024702
咖喱,50024702
咖喱海鲜,50024702
咖喱鸡肉,50024702
咖喱类,50024702
咖喱牛肉,50024702
咖喱蔬菜,50024702
咖喱羊肉,50024702
开门见山,50024702
开味小菜,50024702
开胃菜（菜价已包含1元打包餐盒费）,50024702
开胃冷菜,50024702
